Team,is_home,score_for,score_against,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P,match_url,season
Port Adelaide,1,70,93,578.0,214.0,384.0,962.0,31.0,47.0,87.0,160.0,128.0,161.0,103.0,176.0,47.0,52.0,0.0,394.0,530.0,43.0,33.0,140.0,13.0,25.0,1801.0,https://afltables.com/afl/stats/games/2023/132120230916.html,2023
Greater Western Sydney,0,93,70,637.0,239.0,420.0,1057.0,35.0,46.0,108.0,149.0,130.0,163.0,119.0,163.0,52.0,47.0,0.0,413.0,604.0,38.0,39.0,154.0,14.0,29.0,1802.0,https://afltables.com/afl/stats/games/2023/132120230916.html,2023
Collingwood,1,58,57,669.0,285.0,420.0,1089.0,24.0,29.0,118.0,196.0,122.0,152.0,114.0,186.0,36.0,36.0,0.0,434.0,627.0,38.0,27.0,169.0,12.0,19.0,1801.0,https://afltables.com/afl/stats/games/2023/042120230922.html,2023
Greater Western Sydney,0,57,58,669.0,276.0,441.0,1110.0,24.0,28.0,101.0,188.0,127.0,148.0,96.0,189.0,36.0,36.0,0.0,448.0,630.0,43.0,30.0,167.0,12.0,20.0,1798.0,https://afltables.com/afl/stats/games/2023/042120230922.html,2023
Brisbane Lions,1,79,63,654.0,288.0,352.0,1006.0,31.0,35.0,115.0,165.0,136.0,178.0,118.0,197.0,49.0,47.0,0.0,415.0,568.0,37.0,28.0,189.0,9.0,25.0,1800.0,https://afltables.com/afl/stats/games/2023/031920230923.html,2023
Carlton,0,63,79,618.0,264.0,377.0,995.0,29.0,31.0,107.0,171.0,143.0,167.0,104.0,187.0,47.0,49.0,0.0,410.0,563.0,47.0,23.0,168.0,15.0,23.0,1800.0,https://afltables.com/afl/stats/games/2023/031920230923.html,2023
Collingwood,1,90,86,643.0,279.0,345.0,988.0,37.0,44.0,132.0,199.0,104.0,157.0,120.0,183.0,54.0,60.0,0.0,366.0,599.0,26.0,29.0,147.0,21.0,28.0,1800.0,https://afltables.com/afl/stats/games/2023/041920230930.html,2023
Brisbane Lions,0,86,90,629.0,273.0,327.0,956.0,38.0,34.0,114.0,179.0,118.0,143.0,126.0,183.0,60.0,54.0,0.0,366.0,559.0,25.0,22.0,150.0,18.0,29.0,1800.0,https://afltables.com/afl/stats/games/2023/041920230930.html,2023
Sydney,1,86,64,673.0,261.0,394.0,1067.0,33.0,38.0,130.0,191.0,136.0,181.0,124.0,193.0,66.0,69.0,10.0,437.0,622.0,19.0,23.0,184.0,15.0,15.0,1801.0,https://afltables.com/afl/stats/games/2024/111620240307.html,2024
Melbourne,0,64,86,644.0,225.0,419.0,1063.0,30.0,34.0,122.0,193.0,146.0,167.0,113.0,197.0,69.0,66.0,8.0,436.0,620.0,14.0,19.0,167.0,9.0,15.0,1801.0,https://afltables.com/afl/stats/games/2024/111620240307.html,2024
Brisbane Lions,1,85,86,638.0,279.0,349.0,987.0,37.0,34.0,86.0,185.0,122.0,173.0,110.0,191.0,52.0,56.0,7.0,407.0,557.0,33.0,39.0,112.0,6.0,22.0,1801.0,https://afltables.com/afl/stats/games/2024/031920240308.html,2024
Carlton,0,86,85,643.0,276.0,362.0,1005.0,38.0,29.0,85.0,181.0,136.0,160.0,109.0,184.0,56.0,52.0,11.0,415.0,565.0,36.0,30.0,125.0,6.0,23.0,1802.0,https://afltables.com/afl/stats/games/2024/031920240308.html,2024
Gold Coast,1,99,60,660.0,308.0,341.0,1001.0,37.0,36.0,93.0,125.0,107.0,163.0,119.0,173.0,47.0,46.0,12.0,391.0,593.0,32.0,44.0,161.0,14.0,27.0,1798.0,https://afltables.com/afl/stats/games/2024/142020240309.html,2024
Richmond,0,60,99,600.0,262.0,310.0,910.0,32.0,27.0,102.0,133.0,124.0,143.0,106.0,175.0,46.0,47.0,6.0,365.0,511.0,31.0,34.0,145.0,13.0,21.0,1799.0,https://afltables.com/afl/stats/games/2024/142020240309.html,2024
Greater Western Sydney,1,114,82,657.0,275.0,467.0,1124.0,47.0,28.0,95.0,132.0,129.0,166.0,118.0,204.0,52.0,56.0,12.0,391.0,697.0,22.0,35.0,140.0,9.0,39.0,1801.0,https://afltables.com/afl/stats/games/2024/042120240309.html,2024
Collingwood,0,82,114,636.0,259.0,451.0,1087.0,40.0,38.0,121.0,156.0,117.0,173.0,119.0,195.0,56.0,52.0,6.0,380.0,677.0,17.0,31.0,127.0,9.0,30.0,1797.0,https://afltables.com/afl/stats/games/2024/042120240309.html,2024
Carlton,1,86,81,639.0,265.0,393.0,1032.0,36.0,37.0,88.0,192.0,127.0,180.0,93.0,185.0,65.0,58.0,11.0,404.0,607.0,34.0,36.0,122.0,23.0,23.0,1799.0,https://afltables.com/afl/stats/games/2024/031420240314.html,2024
Richmond,0,81,86,624.0,236.0,375.0,999.0,36.0,32.0,83.0,177.0,143.0,165.0,99.0,214.0,58.0,65.0,7.0,415.0,557.0,32.0,33.0,130.0,25.0,22.0,1798.0,https://afltables.com/afl/stats/games/2024/031420240314.html,2024
Collingwood,1,69,102,640.0,288.0,417.0,1057.0,35.0,30.0,102.0,174.0,109.0,145.0,100.0,181.0,71.0,67.0,6.0,375.0,662.0,24.0,37.0,138.0,13.0,26.0,1801.0,https://afltables.com/afl/stats/games/2024/041620240315.html,2024
Sydney,0,102,69,653.0,294.0,417.0,1070.0,40.0,33.0,90.0,195.0,110.0,149.0,95.0,179.0,67.0,71.0,12.0,369.0,670.0,24.0,47.0,153.0,14.0,31.0,1799.0,https://afltables.com/afl/stats/games/2024/041620240315.html,2024
Essendon,1,107,83,611.0,279.0,420.0,1031.0,45.0,27.0,123.0,166.0,125.0,159.0,111.0,139.0,47.0,40.0,11.0,354.0,642.0,34.0,47.0,116.0,31.0,39.0,1801.0,https://afltables.com/afl/stats/games/2024/051020240316.html,2024
Hawthorn,0,83,107,607.0,282.0,417.0,1024.0,39.0,39.0,114.0,149.0,112.0,165.0,102.0,146.0,40.0,47.0,7.0,360.0,639.0,35.0,52.0,121.0,29.0,33.0,1798.0,https://afltables.com/afl/stats/games/2024/051020240316.html,2024
Greater Western Sydney,1,121,82,663.0,323.0,489.0,1152.0,47.0,42.0,68.0,137.0,109.0,166.0,86.0,164.0,50.0,58.0,12.0,403.0,741.0,51.0,59.0,120.0,19.0,39.0,1799.0,https://afltables.com/afl/stats/games/2024/122120240316.html,2024
North Melbourne,0,82,121,639.0,295.0,450.0,1089.0,43.0,27.0,70.0,139.0,119.0,152.0,91.0,148.0,58.0,50.0,6.0,371.0,684.0,36.0,43.0,126.0,11.0,36.0,1801.0,https://afltables.com/afl/stats/games/2024/122120240316.html,2024
Geelong,1,76,68,686.0,290.0,380.0,1066.0,29.0,46.0,116.0,154.0,120.0,170.0,111.0,172.0,46.0,50.0,9.0,361.0,638.0,34.0,41.0,138.0,15.0,23.0,1800.0,https://afltables.com/afl/stats/games/2024/091520240316.html,2024
St Kilda,0,68,76,679.0,277.0,370.0,1049.0,28.0,44.0,112.0,149.0,138.0,151.0,114.0,161.0,50.0,46.0,9.0,365.0,622.0,29.0,37.0,135.0,12.0,19.0,1801.0,https://afltables.com/afl/stats/games/2024/091520240316.html,2024
Gold Coast,1,60,54,674.0,178.0,417.0,1091.0,24.0,30.0,130.0,212.0,135.0,156.0,129.0,206.0,66.0,68.0,12.0,478.0,559.0,11.0,20.0,208.0,5.0,14.0,1801.0,https://afltables.com/afl/stats/games/2024/012020240316.html,2024
Adelaide,0,54,60,667.0,164.0,417.0,1084.0,24.0,24.0,140.0,214.0,132.0,159.0,129.0,202.0,69.0,64.0,6.0,488.0,530.0,13.0,16.0,197.0,4.0,13.0,1802.0,https://afltables.com/afl/stats/games/2024/012020240316.html,2024
Melbourne,1,109,64,714.0,381.0,432.0,1146.0,41.0,36.0,103.0,131.0,123.0,159.0,106.0,175.0,53.0,49.0,12.0,378.0,772.0,33.0,37.0,126.0,15.0,27.0,1800.0,https://afltables.com/afl/stats/games/2024/071120240317.html,2024
Western Bulldogs,0,64,109,678.0,339.0,438.0,1116.0,34.0,33.0,92.0,121.0,114.0,159.0,104.0,182.0,49.0,53.0,6.0,378.0,749.0,30.0,38.0,135.0,24.0,21.0,1799.0,https://afltables.com/afl/stats/games/2024/071120240317.html,2024
Port Adelaide,1,120,70,659.0,311.0,344.0,1003.0,42.0,58.0,95.0,123.0,100.0,154.0,100.0,129.0,50.0,52.0,12.0,325.0,616.0,31.0,58.0,100.0,26.0,35.0,1800.0,https://afltables.com/afl/stats/games/2024/131820240317.html,2024
West Coast,0,70,120,592.0,259.0,346.0,938.0,36.0,44.0,76.0,114.0,110.0,137.0,95.0,135.0,52.0,50.0,6.0,320.0,557.0,23.0,41.0,98.0,31.0,31.0,1800.0,https://afltables.com/afl/stats/games/2024/131820240317.html,2024
Fremantle,1,93,70,680.0,310.0,435.0,1115.0,38.0,28.0,126.0,189.0,126.0,152.0,116.0,171.0,61.0,62.0,12.0,368.0,716.0,25.0,34.0,120.0,14.0,24.0,1798.0,https://afltables.com/afl/stats/games/2024/081920240317.html,2024
Brisbane Lions,0,70,93,679.0,323.0,396.0,1075.0,34.0,29.0,126.0,177.0,114.0,160.0,109.0,171.0,62.0,61.0,6.0,361.0,694.0,29.0,32.0,135.0,13.0,24.0,1800.0,https://afltables.com/afl/stats/games/2024/081920240317.html,2024
St Kilda,1,94,79,691.0,291.0,453.0,1144.0,40.0,27.0,73.0,158.0,101.0,152.0,101.0,196.0,76.0,62.0,12.0,426.0,696.0,31.0,28.0,128.0,6.0,23.0,1798.0,https://afltables.com/afl/stats/games/2024/041520240321.html,2024
Collingwood,0,79,94,650.0,264.0,444.0,1094.0,38.0,24.0,107.0,160.0,112.0,139.0,97.0,215.0,62.0,76.0,6.0,426.0,651.0,38.0,29.0,130.0,6.0,22.0,1803.0,https://afltables.com/afl/stats/games/2024/041520240321.html,2024
Adelaide,1,77,96,668.0,269.0,410.0,1078.0,36.0,34.0,140.0,207.0,131.0,185.0,132.0,160.0,45.0,36.0,7.0,414.0,622.0,28.0,32.0,159.0,3.0,28.0,1798.0,https://afltables.com/afl/stats/games/2024/010920240322.html,2024
Geelong,0,96,77,640.0,253.0,415.0,1055.0,39.0,35.0,124.0,216.0,145.0,172.0,123.0,146.0,36.0,45.0,11.0,411.0,605.0,35.0,37.0,150.0,3.0,35.0,1799.0,https://afltables.com/afl/stats/games/2024/010920240322.html,2024
North Melbourne,1,76,102,594.0,280.0,481.0,1075.0,37.0,32.0,97.0,143.0,106.0,159.0,110.0,137.0,48.0,48.0,8.0,363.0,700.0,23.0,43.0,122.0,18.0,30.0,1800.0,https://afltables.com/afl/stats/games/2024/081220240323.html,2024
Fremantle,0,102,76,606.0,281.0,461.0,1067.0,41.0,34.0,86.0,160.0,122.0,147.0,106.0,139.0,48.0,48.0,10.0,372.0,686.0,28.0,41.0,115.0,18.0,33.0,1800.0,https://afltables.com/afl/stats/games/2024/081220240323.html,2024
Hawthorn,1,38,93,663.0,338.0,463.0,1126.0,24.0,25.0,89.0,173.0,116.0,139.0,81.0,160.0,57.0,54.0,6.0,360.0,765.0,19.0,36.0,119.0,14.0,23.0,1801.0,https://afltables.com/afl/stats/games/2024/101120240323.html,2024
Melbourne,0,93,38,657.0,328.0,446.0,1103.0,33.0,26.0,88.0,196.0,112.0,152.0,93.0,161.0,54.0,57.0,12.0,372.0,735.0,26.0,39.0,112.0,7.0,31.0,1799.0,https://afltables.com/afl/stats/games/2024/101120240323.html,2024
Sydney,1,131,101,642.0,259.0,439.0,1081.0,53.0,45.0,101.0,160.0,122.0,174.0,109.0,184.0,55.0,56.0,12.0,399.0,644.0,16.0,47.0,145.0,16.0,44.0,1800.0,https://afltables.com/afl/stats/games/2024/051620240323.html,2024
Essendon,0,101,131,621.0,236.0,470.0,1091.0,49.0,39.0,97.0,152.0,121.0,171.0,119.0,188.0,56.0,55.0,6.0,399.0,652.0,17.0,37.0,122.0,14.0,40.0,1801.0,https://afltables.com/afl/stats/games/2024/051620240323.html,2024
Western Bulldogs,1,115,67,641.0,296.0,456.0,1097.0,46.0,21.0,118.0,188.0,121.0,164.0,115.0,191.0,68.0,76.0,12.0,424.0,677.0,39.0,36.0,120.0,22.0,26.0,1799.0,https://afltables.com/afl/stats/games/2024/072020240324.html,2024
Gold Coast,0,67,115,616.0,262.0,432.0,1048.0,38.0,21.0,125.0,181.0,116.0,160.0,104.0,178.0,76.0,68.0,6.0,419.0,625.0,30.0,30.0,120.0,14.0,22.0,1800.0,https://afltables.com/afl/stats/games/2024/072020240324.html,2024
Richmond,1,92,122,625.0,255.0,389.0,1014.0,44.0,42.0,86.0,112.0,127.0,167.0,93.0,184.0,49.0,59.0,7.0,365.0,599.0,21.0,31.0,124.0,18.0,35.0,1801.0,https://afltables.com/afl/stats/games/2024/131420240324.html,2024
Port Adelaide,0,122,92,662.0,288.0,394.0,1056.0,49.0,42.0,85.0,128.0,122.0,178.0,93.0,170.0,59.0,49.0,11.0,358.0,640.0,21.0,41.0,125.0,15.0,37.0,1799.0,https://afltables.com/afl/stats/games/2024/131420240324.html,2024
West Coast,1,43,108,577.0,236.0,555.0,1132.0,26.0,38.0,92.0,214.0,137.0,155.0,112.0,143.0,54.0,51.0,6.0,424.0,686.0,19.0,29.0,136.0,41.0,17.0,1798.0,https://afltables.com/afl/stats/games/2024/182120240324.html,2024
Greater Western Sydney,0,108,43,620.0,256.0,564.0,1184.0,37.0,37.0,112.0,233.0,127.0,178.0,116.0,148.0,51.0,54.0,12.0,434.0,715.0,26.0,34.0,125.0,46.0,25.0,1800.0,https://afltables.com/afl/stats/games/2024/182120240324.html,2024
Brisbane Lions,1,72,92,622.0,255.0,409.0,1031.0,34.0,32.0,142.0,191.0,104.0,155.0,118.0,208.0,70.0,80.0,7.0,401.0,620.0,25.0,21.0,153.0,6.0,26.0,1801.0,https://afltables.com/afl/stats/games/2024/041920240328.html,2024
Collingwood,0,92,72,614.0,243.0,380.0,994.0,38.0,28.0,137.0,223.0,121.0,142.0,110.0,200.0,80.0,70.0,11.0,400.0,586.0,26.0,24.0,153.0,6.0,28.0,1798.0,https://afltables.com/afl/stats/games/2024/041920240328.html,2024
North Melbourne,1,81,137,599.0,241.0,429.0,1028.0,45.0,29.0,105.0,186.0,118.0,164.0,126.0,209.0,76.0,89.0,6.0,401.0,624.0,26.0,36.0,141.0,17.0,24.0,1800.0,https://afltables.com/afl/stats/games/2024/031220240329.html,2024
Carlton,0,137,81,637.0,254.0,426.0,1063.0,54.0,31.0,105.0,207.0,116.0,175.0,123.0,187.0,89.0,76.0,12.0,412.0,648.0,31.0,36.0,147.0,13.0,30.0,1799.0,https://afltables.com/afl/stats/games/2024/031220240329.html,2024
Fremantle,1,69,34,681.0,327.0,478.0,1159.0,22.0,40.0,88.0,169.0,121.0,148.0,90.0,172.0,65.0,61.0,12.0,352.0,782.0,18.0,25.0,133.0,22.0,17.0,1800.0,https://afltables.com/afl/stats/games/2024/010820240329.html,2024
Adelaide,0,34,69,687.0,321.0,425.0,1112.0,17.0,35.0,104.0,149.0,122.0,140.0,87.0,170.0,61.0,65.0,6.0,344.0,733.0,15.0,20.0,134.0,14.0,13.0,1802.0,https://afltables.com/afl/stats/games/2024/010820240329.html,2024
Essendon,1,71,67,709.0,319.0,517.0,1226.0,29.0,35.0,95.0,193.0,126.0,157.0,106.0,185.0,43.0,38.0,10.0,425.0,776.0,34.0,43.0,135.0,13.0,24.0,1802.0,https://afltables.com/afl/stats/games/2024/051520240330.html,2024
St Kilda,0,67,71,674.0,299.0,527.0,1201.0,28.0,37.0,88.0,188.0,126.0,155.0,101.0,184.0,38.0,43.0,8.0,412.0,769.0,32.0,41.0,129.0,17.0,24.0,1799.0,https://afltables.com/afl/stats/games/2024/051520240330.html,2024
Port Adelaide,1,89,96,610.0,214.0,407.0,1017.0,41.0,28.0,115.0,191.0,110.0,177.0,141.0,183.0,73.0,74.0,7.0,424.0,570.0,23.0,35.0,129.0,9.0,23.0,1802.0,https://afltables.com/afl/stats/games/2024/111320240330.html,2024
Melbourne,0,96,89,587.0,212.0,394.0,981.0,43.0,23.0,140.0,181.0,130.0,156.0,126.0,183.0,74.0,73.0,11.0,422.0,549.0,19.0,28.0,144.0,9.0,25.0,1801.0,https://afltables.com/afl/stats/games/2024/111320240330.html,2024
Western Bulldogs,1,106,30,683.0,366.0,468.0,1151.0,35.0,32.0,99.0,175.0,131.0,153.0,93.0,158.0,47.0,52.0,12.0,396.0,741.0,54.0,41.0,143.0,21.0,29.0,1800.0,https://afltables.com/afl/stats/games/2024/071820240331.html,2024
West Coast,0,30,106,634.0,312.0,405.0,1039.0,22.0,34.0,93.0,167.0,118.0,153.0,102.0,163.0,52.0,47.0,6.0,390.0,633.0,48.0,37.0,145.0,15.0,19.0,1798.0,https://afltables.com/afl/stats/games/2024/071820240331.html,2024
Richmond,1,82,77,715.0,319.0,405.0,1120.0,33.0,43.0,74.0,162.0,129.0,171.0,82.0,199.0,50.0,49.0,11.0,369.0,732.0,21.0,33.0,146.0,24.0,27.0,1798.0,https://afltables.com/afl/stats/games/2024/141620240331.html,2024
Sydney,0,77,82,704.0,308.0,432.0,1136.0,33.0,38.0,73.0,147.0,132.0,165.0,86.0,203.0,49.0,50.0,7.0,366.0,750.0,18.0,27.0,139.0,27.0,27.0,1800.0,https://afltables.com/afl/stats/games/2024/141620240331.html,2024
Hawthorn,1,70,106,678.0,280.0,429.0,1107.0,37.0,24.0,132.0,240.0,125.0,180.0,118.0,199.0,62.0,61.0,8.0,422.0,667.0,33.0,28.0,166.0,17.0,23.0,1801.0,https://afltables.com/afl/stats/games/2024/091020240401.html,2024
Geelong,0,106,70,681.0,272.0,432.0,1113.0,44.0,18.0,120.0,255.0,142.0,171.0,104.0,215.0,61.0,62.0,10.0,409.0,668.0,33.0,32.0,185.0,13.0,31.0,1801.0,https://afltables.com/afl/stats/games/2024/091020240401.html,2024
Adelaide,1,63,78,638.0,279.0,413.0,1051.0,26.0,48.0,131.0,181.0,122.0,156.0,115.0,116.0,51.0,39.0,7.0,389.0,622.0,36.0,26.0,159.0,2.0,22.0,1800.0,https://afltables.com/afl/stats/games/2024/011120240404.html,2024
Melbourne,0,78,63,622.0,267.0,373.0,995.0,28.0,51.0,130.0,188.0,130.0,150.0,119.0,124.0,39.0,51.0,11.0,391.0,566.0,45.0,28.0,150.0,4.0,20.0,1801.0,https://afltables.com/afl/stats/games/2024/011120240404.html,2024
Brisbane Lions,1,112,42,623.0,257.0,494.0,1117.0,38.0,38.0,120.0,205.0,103.0,173.0,119.0,155.0,41.0,46.0,12.0,418.0,707.0,31.0,48.0,135.0,10.0,22.0,1801.0,https://afltables.com/afl/stats/games/2024/121920240405.html,2024
North Melbourne,0,42,112,583.0,232.0,484.0,1067.0,28.0,28.0,132.0,224.0,131.0,133.0,109.0,154.0,46.0,41.0,6.0,392.0,661.0,26.0,30.0,126.0,11.0,17.0,1801.0,https://afltables.com/afl/stats/games/2024/121920240405.html,2024
Port Adelaide,1,111,42,680.0,304.0,408.0,1088.0,40.0,24.0,80.0,161.0,116.0,169.0,108.0,187.0,38.0,49.0,12.0,416.0,650.0,29.0,29.0,132.0,23.0,28.0,1798.0,https://afltables.com/afl/stats/games/2024/051320240405.html,2024
Essendon,0,42,111,649.0,278.0,459.0,1108.0,29.0,21.0,91.0,178.0,124.0,149.0,99.0,179.0,49.0,38.0,6.0,412.0,670.0,22.0,22.0,117.0,28.0,23.0,1800.0,https://afltables.com/afl/stats/games/2024/051320240405.html,2024
West Coast,1,78,104,618.0,285.0,403.0,1021.0,37.0,38.0,99.0,188.0,117.0,159.0,108.0,181.0,63.0,62.0,7.0,394.0,600.0,34.0,37.0,119.0,18.0,28.0,1800.0,https://afltables.com/afl/stats/games/2024/161820240406.html,2024
Sydney,0,104,78,633.0,273.0,401.0,1034.0,41.0,40.0,108.0,187.0,120.0,159.0,120.0,182.0,63.0,61.0,11.0,386.0,621.0,23.0,41.0,148.0,21.0,29.0,1801.0,https://afltables.com/afl/stats/games/2024/161820240406.html,2024
Fremantle,1,63,73,633.0,285.0,462.0,1095.0,28.0,31.0,111.0,212.0,112.0,138.0,115.0,149.0,44.0,40.0,10.0,396.0,685.0,28.0,22.0,127.0,20.0,11.0,1802.0,https://afltables.com/afl/stats/games/2024/030820240406.html,2024
Carlton,0,73,63,645.0,300.0,432.0,1077.0,29.0,35.0,114.0,226.0,110.0,141.0,98.0,148.0,40.0,44.0,8.0,402.0,665.0,38.0,23.0,125.0,19.0,13.0,1801.0,https://afltables.com/afl/stats/games/2024/030820240406.html,2024
Western Bulldogs,1,91,95,640.0,254.0,488.0,1128.0,42.0,25.0,147.0,192.0,119.0,157.0,150.0,183.0,46.0,44.0,11.0,414.0,688.0,32.0,32.0,127.0,24.0,33.0,1800.0,https://afltables.com/afl/stats/games/2024/070920240406.html,2024
Geelong,0,95,91,632.0,250.0,469.0,1101.0,42.0,29.0,156.0,186.0,115.0,161.0,141.0,183.0,44.0,46.0,7.0,411.0,671.0,31.0,31.0,131.0,18.0,33.0,1800.0,https://afltables.com/afl/stats/games/2024/070920240406.html,2024
Gold Coast,1,89,117,642.0,267.0,419.0,1061.0,44.0,31.0,99.0,121.0,142.0,179.0,101.0,184.0,51.0,54.0,7.0,387.0,657.0,24.0,30.0,123.0,9.0,35.0,1800.0,https://afltables.com/afl/stats/games/2024/202120240407.html,2024
Greater Western Sydney,0,117,89,630.0,258.0,436.0,1066.0,49.0,29.0,72.0,131.0,131.0,193.0,106.0,191.0,54.0,51.0,11.0,396.0,666.0,30.0,36.0,123.0,12.0,40.0,1801.0,https://afltables.com/afl/stats/games/2024/202120240407.html,2024
Richmond,1,60,67,682.0,279.0,436.0,1118.0,27.0,25.0,121.0,218.0,138.0,166.0,101.0,193.0,65.0,67.0,7.0,422.0,666.0,35.0,28.0,139.0,23.0,21.0,1799.0,https://afltables.com/afl/stats/games/2024/141520240407.html,2024
St Kilda,0,67,60,716.0,318.0,446.0,1162.0,27.0,32.0,104.0,211.0,135.0,167.0,103.0,176.0,67.0,65.0,11.0,424.0,714.0,34.0,26.0,134.0,19.0,21.0,1800.0,https://afltables.com/afl/stats/games/2024/141520240407.html,2024
Collingwood,1,77,72,579.0,236.0,489.0,1068.0,33.0,28.0,136.0,206.0,120.0,147.0,115.0,198.0,59.0,61.0,10.0,432.0,621.0,28.0,30.0,139.0,16.0,25.0,1800.0,https://afltables.com/afl/stats/games/2024/041020240407.html,2024
Hawthorn,0,72,77,582.0,238.0,465.0,1047.0,33.0,23.0,119.0,190.0,114.0,153.0,116.0,192.0,61.0,59.0,8.0,441.0,591.0,29.0,30.0,113.0,14.0,23.0,1800.0,https://afltables.com/afl/stats/games/2024/041020240407.html,2024
Melbourne,1,60,82,615.0,306.0,387.0,1002.0,28.0,34.0,143.0,189.0,132.0,158.0,114.0,153.0,44.0,52.0,6.0,378.0,609.0,38.0,30.0,153.0,16.0,19.0,1800.0,https://afltables.com/afl/stats/games/2024/111920240411.html,2024
Brisbane Lions,0,82,60,678.0,348.0,387.0,1065.0,32.0,32.0,112.0,219.0,126.0,166.0,123.0,150.0,52.0,44.0,12.0,390.0,657.0,34.0,33.0,144.0,11.0,20.0,1801.0,https://afltables.com/afl/stats/games/2024/111920240411.html,2024
Western Bulldogs,1,67,96,637.0,290.0,431.0,1068.0,33.0,32.0,81.0,147.0,104.0,149.0,90.0,185.0,51.0,57.0,7.0,356.0,688.0,32.0,45.0,116.0,23.0,22.0,1800.0,https://afltables.com/afl/stats/games/2024/050720240412.html,2024
Essendon,0,96,67,677.0,307.0,388.0,1065.0,39.0,25.0,93.0,144.0,112.0,148.0,96.0,172.0,57.0,51.0,11.0,364.0,665.0,31.0,45.0,118.0,19.0,23.0,1799.0,https://afltables.com/afl/stats/games/2024/050720240412.html,2024
Greater Western Sydney,1,80,79,646.0,296.0,476.0,1122.0,34.0,35.0,96.0,185.0,115.0,148.0,105.0,141.0,38.0,49.0,8.0,374.0,731.0,16.0,44.0,136.0,18.0,21.0,1800.0,https://afltables.com/afl/stats/games/2024/152120240413.html,2024
St Kilda,0,79,80,662.0,307.0,433.0,1095.0,35.0,28.0,93.0,193.0,110.0,152.0,117.0,150.0,49.0,38.0,10.0,385.0,685.0,17.0,43.0,119.0,18.0,21.0,1799.0,https://afltables.com/afl/stats/games/2024/152120240413.html,2024
Carlton,1,98,100,615.0,277.0,410.0,1025.0,44.0,32.0,113.0,177.0,103.0,152.0,116.0,148.0,63.0,63.0,9.0,390.0,628.0,26.0,40.0,96.0,12.0,30.0,1801.0,https://afltables.com/afl/stats/games/2024/010320240413.html,2024
Adelaide,0,100,98,591.0,266.0,442.0,1033.0,46.0,22.0,121.0,168.0,107.0,148.0,109.0,161.0,63.0,63.0,9.0,384.0,644.0,22.0,47.0,105.0,12.0,33.0,1799.0,https://afltables.com/afl/stats/games/2024/010320240413.html,2024
Port Adelaide,1,66,63,601.0,252.0,411.0,1012.0,27.0,33.0,159.0,199.0,119.0,158.0,102.0,157.0,65.0,61.0,10.0,392.0,595.0,33.0,30.0,132.0,19.0,19.0,1802.0,https://afltables.com/afl/stats/games/2024/081320240413.html,2024
Fremantle,0,63,66,566.0,225.0,444.0,1010.0,27.0,30.0,117.0,179.0,130.0,148.0,111.0,167.0,61.0,65.0,8.0,403.0,590.0,27.0,24.0,129.0,14.0,20.0,1802.0,https://afltables.com/afl/stats/games/2024/081320240413.html,2024
Gold Coast,1,109,56,637.0,284.0,365.0,1002.0,40.0,34.0,108.0,166.0,120.0,175.0,104.0,167.0,74.0,67.0,12.0,397.0,600.0,19.0,20.0,126.0,12.0,24.0,1799.0,https://afltables.com/afl/stats/games/2024/102020240413.html,2024
Hawthorn,0,56,109,572.0,238.0,334.0,906.0,32.0,29.0,99.0,149.0,132.0,155.0,94.0,190.0,67.0,74.0,6.0,389.0,507.0,20.0,16.0,120.0,9.0,18.0,1799.0,https://afltables.com/afl/stats/games/2024/102020240413.html,2024
Geelong,1,139,64,625.0,305.0,437.0,1062.0,52.0,30.0,97.0,170.0,107.0,165.0,107.0,145.0,45.0,48.0,12.0,386.0,678.0,23.0,55.0,138.0,5.0,42.0,1800.0,https://afltables.com/afl/stats/games/2024/091220240414.html,2024
North Melbourne,0,64,139,662.0,346.0,436.0,1098.0,41.0,21.0,110.0,187.0,112.0,150.0,100.0,155.0,48.0,45.0,6.0,373.0,723.0,22.0,44.0,135.0,4.0,33.0,1799.0,https://afltables.com/afl/stats/games/2024/091220240414.html,2024
West Coast,1,109,70,578.0,244.0,345.0,923.0,42.0,36.0,97.0,163.0,103.0,162.0,121.0,132.0,51.0,42.0,12.0,394.0,510.0,43.0,51.0,105.0,32.0,34.0,1802.0,https://afltables.com/afl/stats/games/2024/141820240414.html,2024
Richmond,0,70,109,568.0,260.0,327.0,895.0,36.0,33.0,122.0,176.0,119.0,141.0,98.0,144.0,42.0,51.0,6.0,356.0,519.0,35.0,51.0,123.0,37.0,29.0,1798.0,https://afltables.com/afl/stats/games/2024/141820240414.html,2024
St Kilda,1,64,124,641.0,296.0,439.0,1080.0,37.0,30.0,92.0,172.0,103.0,142.0,92.0,186.0,37.0,49.0,6.0,382.0,680.0,23.0,36.0,134.0,22.0,27.0,1800.0,https://afltables.com/afl/stats/games/2024/071520240418.html,2024
Western Bulldogs,0,124,64,715.0,370.0,440.0,1155.0,47.0,30.0,100.0,194.0,101.0,152.0,94.0,150.0,50.0,35.0,12.0,392.0,745.0,34.0,42.0,112.0,23.0,30.0,1799.0,https://afltables.com/afl/stats/games/2024/071520240418.html,2024
