Team,is_home,score_for,score_against,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P,match_url,season
Fremantle,1,55,65,672.0,296.0,442.0,1114.0,25.0,25.0,90.0,166.0,111.0,134.0,89.0,206.0,78.0,75.0,9.0,402.0,699.0,30.0,18.0,143.0,16.0,13.0,1798.0,https://afltables.com/afl/stats/games/2022/081520220327.html,2022
St Kilda,0,65,55,681.0,298.0,443.0,1124.0,26.0,29.0,93.0,173.0,105.0,142.0,100.0,211.0,75.0,78.0,9.0,414.0,696.0,33.0,27.0,124.0,20.0,14.0,1802.0,https://afltables.com/afl/stats/games/2022/081520220327.html,2022
Western Bulldogs,1,71,60,676.0,299.0,430.0,1106.0,27.0,40.0,95.0,179.0,128.0,167.0,114.0,168.0,76.0,59.0,12.0,441.0,664.0,33.0,30.0,148.0,40.0,12.0,1800.0,https://afltables.com/afl/stats/games/2022/071620220331.html,2022
Sydney,0,60,71,671.0,310.0,422.0,1093.0,27.0,29.0,100.0,163.0,136.0,157.0,105.0,183.0,59.0,76.0,6.0,417.0,662.0,33.0,27.0,149.0,35.0,12.0,1799.0,https://afltables.com/afl/stats/games/2022/071620220331.html,2022
Melbourne,1,99,70,670.0,328.0,404.0,1074.0,38.0,40.0,93.0,125.0,109.0,169.0,103.0,165.0,58.0,59.0,12.0,379.0,666.0,37.0,46.0,111.0,9.0,33.0,1799.0,https://afltables.com/afl/stats/games/2022/051120220401.html,2022
Essendon,0,70,99,644.0,296.0,373.0,1017.0,34.0,35.0,99.0,139.0,131.0,143.0,110.0,162.0,59.0,58.0,6.0,365.0,609.0,38.0,41.0,111.0,6.0,30.0,1798.0,https://afltables.com/afl/stats/games/2022/051120220401.html,2022
Adelaide,1,96,92,576.0,201.0,457.0,1033.0,43.0,26.0,125.0,208.0,94.0,134.0,120.0,164.0,79.0,74.0,9.0,414.0,588.0,37.0,28.0,129.0,10.0,24.0,1801.0,https://afltables.com/afl/stats/games/2022/011320220401.html,2022
Port Adelaide,0,92,96,576.0,201.0,455.0,1031.0,41.0,34.0,112.0,224.0,86.0,139.0,120.0,178.0,74.0,79.0,9.0,408.0,585.0,35.0,29.0,138.0,11.0,24.0,1800.0,https://afltables.com/afl/stats/games/2022/011320220401.html,2022
Greater Western Sydney,1,83,57,627.0,252.0,461.0,1088.0,32.0,31.0,127.0,203.0,124.0,160.0,140.0,159.0,70.0,65.0,12.0,409.0,657.0,28.0,32.0,140.0,22.0,24.0,1801.0,https://afltables.com/afl/stats/games/2022/202120220402.html,2022
Gold Coast,0,57,83,591.0,231.0,403.0,994.0,28.0,29.0,125.0,175.0,122.0,155.0,121.0,174.0,65.0,70.0,6.0,386.0,591.0,26.0,28.0,148.0,23.0,18.0,1799.0,https://afltables.com/afl/stats/games/2022/202120220402.html,2022
Collingwood,1,91,104,605.0,235.0,538.0,1143.0,42.0,34.0,99.0,172.0,108.0,165.0,119.0,198.0,67.0,65.0,7.0,451.0,683.0,19.0,34.0,165.0,5.0,28.0,1798.0,https://afltables.com/afl/stats/games/2022/040920220402.html,2022
Geelong,0,104,91,598.0,230.0,509.0,1107.0,45.0,29.0,96.0,176.0,123.0,153.0,115.0,201.0,65.0,67.0,11.0,428.0,649.0,23.0,47.0,168.0,4.0,35.0,1798.0,https://afltables.com/afl/stats/games/2022/040920220402.html,2022
Brisbane Lions,1,156,48,711.0,320.0,401.0,1112.0,53.0,42.0,96.0,145.0,119.0,196.0,124.0,166.0,56.0,55.0,12.0,430.0,670.0,45.0,57.0,162.0,14.0,37.0,1802.0,https://afltables.com/afl/stats/games/2022/121920220402.html,2022
North Melbourne,0,48,156,633.0,259.0,397.0,1030.0,37.0,30.0,111.0,140.0,139.0,158.0,131.0,182.0,55.0,56.0,6.0,392.0,611.0,30.0,36.0,159.0,16.0,23.0,1800.0,https://afltables.com/afl/stats/games/2022/121920220402.html,2022
Carlton,1,74,73,728.0,333.0,436.0,1164.0,33.0,23.0,99.0,193.0,122.0,174.0,105.0,206.0,66.0,63.0,12.0,431.0,725.0,35.0,28.0,159.0,26.0,22.0,1799.0,https://afltables.com/afl/stats/games/2022/031020220403.html,2022
Hawthorn,0,73,74,697.0,321.0,434.0,1131.0,33.0,22.0,96.0,182.0,139.0,156.0,99.0,205.0,63.0,66.0,6.0,421.0,700.0,31.0,26.0,153.0,28.0,23.0,1803.0,https://afltables.com/afl/stats/games/2022/031020220403.html,2022
St Kilda,1,117,84,624.0,232.0,476.0,1100.0,49.0,24.0,120.0,139.0,113.0,153.0,124.0,194.0,73.0,65.0,12.0,433.0,676.0,26.0,32.0,175.0,14.0,34.0,1800.0,https://afltables.com/afl/stats/games/2022/141520220403.html,2022
Richmond,0,84,117,606.0,245.0,454.0,1060.0,44.0,21.0,117.0,149.0,103.0,159.0,113.0,199.0,65.0,73.0,6.0,407.0,662.0,28.0,28.0,161.0,10.0,29.0,1800.0,https://afltables.com/afl/stats/games/2022/141520220403.html,2022
West Coast,1,47,102,640.0,288.0,361.0,1001.0,29.0,22.0,100.0,162.0,116.0,147.0,94.0,193.0,80.0,73.0,6.0,392.0,614.0,37.0,27.0,163.0,7.0,17.0,1798.0,https://afltables.com/afl/stats/games/2022/081820220403.html,2022
Fremantle,0,102,47,677.0,318.0,386.0,1063.0,37.0,29.0,77.0,159.0,115.0,156.0,101.0,200.0,73.0,80.0,12.0,385.0,679.0,29.0,36.0,173.0,11.0,25.0,1802.0,https://afltables.com/afl/stats/games/2022/081820220403.html,2022
Port Adelaide,1,36,68,717.0,346.0,453.0,1170.0,18.0,32.0,95.0,158.0,131.0,151.0,99.0,215.0,66.0,69.0,6.0,393.0,766.0,28.0,17.0,174.0,21.0,11.0,1800.0,https://afltables.com/afl/stats/games/2022/111320220407.html,2022
Melbourne,0,68,36,654.0,287.0,462.0,1116.0,24.0,28.0,109.0,154.0,127.0,158.0,108.0,220.0,69.0,66.0,12.0,417.0,692.0,38.0,25.0,156.0,18.0,16.0,1799.0,https://afltables.com/afl/stats/games/2022/111320220407.html,2022
Geelong,1,80,70,662.0,315.0,431.0,1093.0,33.0,32.0,115.0,173.0,109.0,160.0,109.0,163.0,52.0,50.0,11.0,397.0,689.0,50.0,50.0,127.0,8.0,26.0,1800.0,https://afltables.com/afl/stats/games/2022/091920220408.html,2022
Brisbane Lions,0,70,80,664.0,318.0,385.0,1049.0,33.0,22.0,95.0,160.0,125.0,143.0,104.0,170.0,50.0,52.0,7.0,398.0,637.0,55.0,43.0,122.0,7.0,28.0,1800.0,https://afltables.com/afl/stats/games/2022/091920220408.html,2022
Sydney,1,86,75,621.0,221.0,415.0,1036.0,38.0,19.0,102.0,196.0,126.0,166.0,116.0,196.0,86.0,94.0,8.0,425.0,603.0,24.0,26.0,151.0,14.0,27.0,1799.0,https://afltables.com/afl/stats/games/2022/121620220409.html,2022
North Melbourne,0,75,86,621.0,226.0,401.0,1022.0,37.0,14.0,105.0,197.0,126.0,164.0,103.0,185.0,94.0,86.0,10.0,418.0,585.0,21.0,25.0,149.0,10.0,27.0,1801.0,https://afltables.com/afl/stats/games/2022/121620220409.html,2022
Collingwood,1,74,87,626.0,275.0,416.0,1042.0,34.0,31.0,99.0,177.0,105.0,164.0,104.0,181.0,77.0,70.0,10.0,394.0,652.0,36.0,38.0,137.0,1.0,24.0,1802.0,https://afltables.com/afl/stats/games/2022/041820220409.html,2022
West Coast,0,87,74,634.0,286.0,394.0,1028.0,38.0,20.0,96.0,150.0,129.0,145.0,103.0,185.0,70.0,77.0,8.0,401.0,635.0,30.0,37.0,139.0,2.0,30.0,1800.0,https://afltables.com/afl/stats/games/2022/041820220409.html,2022
Fremantle,1,88,54,639.0,254.0,457.0,1096.0,34.0,26.0,108.0,199.0,109.0,147.0,104.0,176.0,100.0,74.0,11.0,435.0,646.0,21.0,27.0,163.0,15.0,24.0,1800.0,https://afltables.com/afl/stats/games/2022/082120220409.html,2022
Greater Western Sydney,0,54,88,609.0,253.0,425.0,1034.0,29.0,22.0,111.0,188.0,110.0,141.0,106.0,196.0,74.0,100.0,7.0,411.0,617.0,18.0,24.0,158.0,9.0,15.0,1800.0,https://afltables.com/afl/stats/games/2022/082120220409.html,2022
Richmond,1,99,61,685.0,309.0,463.0,1148.0,37.0,37.0,97.0,132.0,130.0,153.0,87.0,193.0,55.0,65.0,12.0,408.0,737.0,35.0,33.0,160.0,12.0,16.0,1799.0,https://afltables.com/afl/stats/games/2022/071420220409.html,2022
Western Bulldogs,0,61,99,680.0,297.0,515.0,1195.0,29.0,47.0,86.0,126.0,110.0,162.0,99.0,179.0,65.0,55.0,6.0,408.0,793.0,31.0,33.0,155.0,12.0,17.0,1800.0,https://afltables.com/afl/stats/games/2022/071420220409.html,2022
Essendon,1,103,99,653.0,281.0,450.0,1103.0,45.0,35.0,113.0,139.0,124.0,183.0,118.0,207.0,74.0,76.0,9.0,429.0,656.0,32.0,35.0,153.0,27.0,36.0,1802.0,https://afltables.com/afl/stats/games/2022/010520220410.html,2022
